Data Type,True Values,Mean Predictions
Train,1.15,1.2457392883550427
Train,7.1,7.272475755351164
Train,18.6,18.568679539275962
Train,3.36,3.7199016797953477
Train,32.94,32.92667753720834
Train,0.9,0.8732816575720597
Train,5.5,5.9504481419448085
Train,5.73,6.255645198670225
Train,9.53,9.495762617423512
Train,18.25,18.63334328100108
Train,11.74,11.641770727198272
Train,1.4,1.3455640188094475
Train,25.44,25.506676259016626
Train,19.4,19.40841507470527
Train,9.99,10.030543586398156
Train,25.8,25.656587953544623
Train,3.43,3.376617215147637
Train,7.25,7.052768703160178
Train,1.75,1.7401573933370893
Train,5.7,5.6747860574022635
Train,0.0,0.011839811541063838
Train,16.08,16.034578605292925
Train,10.7,10.727016887039476
Train,0.8,0.7518224112245184
Train,3.28,3.189041259391712
Train,40.04,39.99373806140642
Train,15.85,15.723768976147813
Train,1.15,1.1094921520597552
Train,0.87,0.8395574069756117
Train,14.38,14.804522404695463
Train,29.66,29.890754470758726
Train,6.8,6.742156531252889
Train,4.15,4.010278548044879
Train,11.63,11.794987348714397
Train,22.01,22.231705703633878
Train,4.6,4.54304227038911
Train,3.77,3.615839898804613
Train,23.5,23.95506736479013
Train,11.0,10.846301264023435
Train,10.0,10.048771430348689
Train,18.02,17.69923292879404
Train,8.3,8.658257099438744
Train,3.36,3.194503546204223
Train,10.0,9.794612781311736
Train,5.6,5.662326586995004
Train,6.6,7.0497690343322645
Train,5.14,5.3188780334938155
Train,10.5,10.620381893695418
Train,4.5,4.4823383620093225
Train,3.94,3.9178193381473903
Train,11.5,11.669878947795471
Train,8.47,8.400984887627892
Train,8.1,8.20797003329741
Train,0.0,0.026081572836828215
Train,3.96,3.9447688624798753
Train,9.21,9.047860835176138
Train,8.9,8.549377649228559
Train,1.38,1.536884244780096
Train,10.7,10.814379910611194
Train,5.1,4.9463360424756475
Train,5.27,5.39877591612512
Train,2.04,2.0751012244632285
Train,8.6,8.580575784100157
Train,13.53,13.322868475748301
Train,8.1,8.311520329445301
Train,5.36,4.878909351493976
Train,6.65,6.451260389372733
Train,1.09,1.277050329190675
Train,11.75,11.53162151167359
Train,2.5,2.3165409256081695
Train,24.75,24.501893161254458
Train,25.1,25.199514683488104
Train,10.6,10.992160261872973
Train,5.22,5.2532174613644225
Train,14.48,14.443306651145384
Train,15.3,15.31912670751083
Train,20.76,20.755210478213108
Train,11.0,10.895624261490372
Train,17.58,17.480172303668216
Train,4.7,4.287970588699934
Train,17.22,17.437743899997496
Train,5.83,5.900284196241682
Train,2.81,2.5106921244094833
Train,23.0,22.66856048842727
Train,1.82,1.737720270322576
Train,6.79,6.722038411828725
Train,16.43,16.15212058553078
Train,0.0,-0.058106981901282495
Train,5.6,5.57753947810957
Train,20.37,20.607299810902955
Train,25.9,26.103780020392133
Train,4.8,4.732633039442048
Train,3.04,3.1579246649896993
Train,23.84,23.92349335498294
Train,11.5,11.652699258914868
Train,5.3,5.337418649716454
Train,2.04,2.258213441849822
Train,3.7,4.287970588699934
Train,6.1,6.3095405079011595
Train,1.41,1.6793524740041317
Train,16.1,15.803845610527368
Train,6.52,6.446334339711826
Train,10.35,10.691642335796944
Train,2.2,2.356430167512534
Train,11.65,11.784042157444173
Train,7.85,7.991911258786563
Train,2.46,2.645995407696099
Train,11.57,11.844224044156354
Train,2.65,2.812734065119015
Train,11.39,11.636152627657818
Train,19.09,19.268074534819327
Train,4.61,4.724692072251562
Train,8.29,8.231664963128836
Train,7.82,7.716808440214859
Train,11.03,10.906807001390957
Train,7.25,7.2520681602519605
Train,6.22,6.60830563166672
Train,15.96,15.922739304390541
Train,7.8,7.851778380995346
Train,4.4,4.099973140308841
Train,4.36,4.250727656524346
Train,8.0,7.93897076207401
Train,13.0,13.041070381952569
Train,2.1,2.075209539662957
Train,6.13,6.004174898488133
Train,1.46,1.576890070948953
Train,3.7,3.7872146154313797
Train,8.8,10.07105476349736
Train,4.17,4.073240052913555
Train,19.05,19.113442966609483
Train,7.4,7.19481832811091
Train,13.69,13.879676410389429
Train,7.8,7.702483018974153
Train,11.69,12.057181872065296
Train,2.88,2.9674556272790573
Train,1.6,1.4989807587904993
Train,38.44,38.583000257399725
Train,0.56,0.5074788973345276
Train,11.56,11.350396673754487
Train,6.57,6.193546290871702
Train,9.1,8.846208637349287
Train,5.59,5.364496916564605
Train,12.87,12.760442458308727
Train,11.8,11.906543626618193
Train,16.3,16.28662619436419
Train,2.37,2.422078099539966
Train,4.8,4.864690171899377
Train,23.16,23.116304400225093
Train,6.2,6.54118226396882
Train,7.64,7.406280929510725
Train,0.95,0.9771062846300487
Train,29.4,29.40299924312687
Train,2.13,2.1046433322322424
Train,1.89,1.800823952214661
Train,14.5,14.277123601443234
Train,8.73,9.303359754866378
Train,7.27,7.297313255201342
Train,5.5,5.57753947810957
Train,3.46,3.3741385183716104
Train,14.0,14.150997579028754
Train,11.0,10.906807001390957
Train,8.0,8.224457923120891
Train,18.5,18.625792353952747
Train,1.33,1.2757718590002367
Train,1.5,1.505175803872359
Train,0.5,0.43437923047902244
Train,0.0,0.18567280298037217
Train,5.3,5.6461241912774005
Train,0.0,-0.1464078077898261
Train,4.24,4.3350190060327645
Train,3.94,3.7077508803794945
Train,6.85,6.948781306392382
Train,10.1,10.102858526754474
Train,5.32,5.141720404484593
Train,1.0,0.8529409172591221
Train,6.38,6.2348185836918155
Train,16.5,16.25649406594567
Train,7.2,7.254852539324343
Train,23.22,23.18715411558055
Train,2.2,2.306211282802
Train,1.6,1.5431654149481193
Train,21.0,20.709531203979427
Train,1.64,1.7116678067543105
Train,11.2,10.932033039492582
Train,20.7,20.668702250188854
Train,23.85,23.67757095111095
Train,2.51,2.372049891334078
Train,8.2,7.692716014658912
Train,9.7,9.632538795397283
Train,0.86,0.9167665767519872
Train,1.24,1.2178892031268322
Train,10.1,10.316623816272893
Train,13.0,12.953075983630706
Train,1.46,1.6793524740041317
Train,9.01,9.026663553082388
Train,0.8,0.8915961780653862
Train,4.21,4.332666230420545
Train,4.6,4.878543205873818
Train,3.98,3.973142678085872
Train,13.43,13.584238939317546
Train,19.98,19.472136643028588
Train,1.48,1.5856450358146486
Train,8.8,9.275437718311338
Train,11.7,11.72633986467524
Train,11.4,11.372285395276737
Train,10.3,10.29871476780349
Train,2.11,2.135595851546276
Train,1.75,1.8600637075423037
Train,3.28,3.652908953730831
Train,3.42,3.4102264410080396
Train,5.55,5.449114074591984
Train,5.8,5.9504481419448085
Train,3.03,2.7437717725712663
Train,10.4,10.446759107125219
Train,12.57,13.090509629314713
Train,4.0,3.852264503311474
Train,1.26,1.344095444515163
Train,3.32,3.574929679343016
Train,0.0,-0.03876034463751843
Train,8.2,8.128283867435758
Train,4.48,4.479990954339709
Train,6.4,5.737682066844525
Train,4.7,4.6256634211693
Train,6.56,6.451260389372733
Train,9.84,10.071223311867996
Train,5.24,5.19577167798348
Train,0.88,1.0232367729378102
Train,3.52,3.5795927289723726
Train,10.9,10.568178786605612
Train,14.0,14.261213292160747
Train,13.45,13.767462419539765
