Data Type,True Values,Mean Predictions
Train,1.15,1.1491666666666682
Train,7.1,7.169777777777785
Train,18.6,18.572547008546987
Train,3.36,3.3600000000000074
Train,32.94,32.94000000000005
Train,0.9,0.9000000000000006
Train,5.5,5.6487037037036965
Train,5.73,5.745555555555564
Train,9.53,9.529999999999983
Train,18.25,18.259518518518515
Train,11.74,11.740000000000007
Train,1.4,1.4000000000000026
Train,25.44,25.440000000000044
Train,19.4,19.400000000000034
Train,9.99,9.990000000000007
Train,25.8,25.8
Train,3.43,3.4300000000000064
Train,7.25,7.239661183261182
Train,1.75,1.75
Train,5.7,5.797074955908287
Train,0,0
Train,16.08,16.079999999999984
Train,10.7,10.700000000000019
Train,0.8,0.8001111111111094
Train,3.28,3.2799999999999954
Train,40.04,40.03999999999997
Train,15.85,15.849999999999984
Train,1.15,1.1500000000000021
Train,0.87,0.87
Train,14.38,14.380000000000026
Train,29.66,29.659999999999982
Train,6.8,6.799999999999996
Train,4.15,4.131341269841265
Train,11.63,11.630000000000003
Train,22.01,22.010000000000005
Train,4.6,4.601527777777783
Train,3.77,3.7708412698412683
Train,23.5,23.5
Train,11,11.003111111111112
Train,10,10
Train,18.02,18.019999999999985
Train,8.3,8.317777777777769
Train,3.36,3.3358650793650857
Train,10,10
Train,5.6,5.644835978835987
Train,6.6,6.547552028218702
Train,5.14,5.139999999999989
Train,10.5,10.5
Train,4.5,4.522901234567901
Train,3.94,3.939999999999998
Train,11.5,11.507222222222223
Train,8.47,8.470000000000015
Train,8.1,8.10000000000001
Train,0,0
Train,3.96,3.9479999999999973
Train,9.21,9.140600336700343
Train,8.9,8.899999999999988
Train,1.38,1.382416666666665
Train,10.7,10.68314814814816
Train,5.1,5.101111111111116
Train,5.27,5.274666666666661
Train,2.04,2.04577619047619
Train,8.6,8.634444444444458
Train,13.53,13.55888034188032
Train,8.1,8.104594516594526
Train,5.36,5.344925925925938
Train,6.65,6.569005555555564
Train,1.09,1.116309523809526
Train,11.75,11.75
Train,2.5,2.5
Train,24.75,24.75
Train,25.1,25.09999999999996
Train,10.6,10.600000000000014
Train,5.22,5.245172839506183
Train,14.48,14.47281481481483
Train,15.3,15.299999999999976
Train,20.76,20.759999999999994
Train,11,11
Train,17.58,17.57999999999998
Train,4.7,4.262759259259255
Train,17.22,17.220000000000024
Train,5.83,5.829999999999999
Train,2.81,2.810000000000002
Train,23,22.974999999999994
Train,1.82,1.8199999999999963
Train,6.79,6.7826666666666675
Train,16.43,16.392028490028498
Train,0,0
Train,5.6,5.564737213403886
Train,20.37,20.35503703703699
Train,25.9,25.90000000000004
Train,4.8,4.800000000000009
Train,3.04,3.04
Train,23.84,23.839999999999982
Train,11.5,11.520999999999997
Train,5.3,5.300000000000007
Train,2.04,2.0618148148148143
Train,3.7,4.262759259259255
Train,6.1,6.111666666666678
Train,1.41,1.4349722222222234
Train,16.1,16.050277777777765
Train,6.52,6.519999999999991
Train,10.35,10.351388888888906
Train,2.2,2.199999999999996
Train,11.65,11.649999999999993
Train,7.85,7.850000000000012
Train,2.46,2.4631666666666687
Train,11.57,11.576333333333357
Train,2.65,2.6500000000000035
Train,11.39,11.389999999999993
Train,19.09,19.0982222222222
Train,4.61,4.60325925925927
Train,8.29,8.289999999999992
Train,7.82,7.788827849927858
Train,11.03,10.999351851851838
Train,7.25,7.25
Train,6.22,6.312661183261197
Train,15.96,15.906333333333352
Train,7.8,7.7999999999999945
Train,4.4,4.403333333333327
Train,4.36,4.360000000000008
Train,8,7.995600336700337
Train,13,12.999777777777778
Train,2.1,2.109841269841266
Train,6.13,6.128333333333329
Train,1.46,1.459999999999998
Train,3.7,3.6831111111111046
Train,8.8,10.114145502645485
Train,4.17,4.170000000000003
Train,19.05,19.049999999999965
Train,7.4,7.400185185185173
Train,13.69,13.69000000000003
Train,7.8,7.776159259259252
Train,11.69,11.690000000000028
Train,2.88,2.8749444444444423
Train,1.6,1.5999999999999974
Train,38.44,38.44000000000005
Train,0.56,0.5600000000000006
Train,11.56,11.556888888888858
Train,6.57,6.539061111111111
Train,9.1,9.055493827160504
Train,5.59,5.589999999999991
Train,12.87,12.861333333333324
Train,11.8,11.79999999999998
Train,16.3,16.29999999999998
Train,2.37,2.3773968253968283
Train,4.8,4.800000000000009
Train,23.16,23.16000000000002
Train,6.2,6.2681860670194
Train,7.64,7.635222222222211
Train,0.95,0.9500000000000015
Train,29.4,29.40000000000005
Train,2.13,2.1527391534391507
Train,1.89,1.8899999999999963
Train,14.5,14.492370370370365
Train,8.73,8.790518518518526
Train,7.27,7.269999999999991
Train,5.5,5.564737213403886
Train,3.46,3.4599999999999977
Train,14,13.998037037037033
Train,11,10.999351851851838
Train,8,8
Train,18.5,18.46944444444444
Train,1.33,1.3328703703703684
Train,1.5,1.499092592592593
Train,0.5,0.5
Train,0,0
Train,5.3,5.349444444444451
Train,0,0
Train,4.24,4.272037037037042
Train,3.94,3.939999999999998
Train,6.85,6.969406604506616
Train,10.1,10.101111111111123
Train,5.32,5.328999999999993
Train,1,1
Train,6.38,6.379999999999996
Train,16.5,16.49588034188034
Train,7.2,7.200000000000005
Train,23.22,23.220000000000013
Train,2.2,2.200555555555553
Train,1.6,1.5999999999999974
Train,21,21
Train,1.64,1.6399999999999977
Train,11.2,10.938055555555577
Train,20.7,20.70000000000003
Train,23.85,23.84999999999996
Train,2.51,2.5099999999999976
Train,8.2,8.214904761904773
Train,9.7,9.700000000000017
Train,0.86,0.8599999999999995
Train,1.24,1.2399999999999982
Train,10.1,10.154422222222237
Train,13,13.008925925925926
Train,1.46,1.4349722222222234
Train,9.01,9.009999999999993
Train,0.8,0.7999999999999987
Train,4.21,4.209999999999994
Train,4.6,4.6000000000000085
Train,3.98,3.9796666666666685
Train,13.43,13.42999999999999
Train,19.98,19.970611111111122
Train,1.48,1.4808888888888898
Train,8.8,8.797962962962956
Train,11.7,11.70000000000002
Train,11.4,11.393588888888873
Train,10.3,10.298888888888868
Train,2.11,2.1100000000000043
Train,1.75,1.75
Train,3.28,3.282333333333331
Train,3.42,3.419999999999999
Train,5.55,5.545333333333341
Train,5.8,5.6487037037036965
Train,3.03,3.026833333333333
Train,10.4,10.399999999999984
Train,12.57,12.59872222222224
Train,4,4.009305555555556
Train,1.26,1.2600000000000018
Train,3.32,3.3199999999999936
Train,0,0
Train,8.2,8.203493827160502
Train,4.48,4.480000000000005
Train,6.4,6.306425925925918
Train,4.7,4.699999999999994
Train,6.56,6.569005555555564
Train,9.84,9.855750000000008
Train,5.24,5.240000000000006
Train,0.88,0.88
Train,3.52,3.5415333333333336
Train,10.9,10.899999999999986
Train,14,13.998037037037033
Train,13.45,13.524019230769252
Train,9.2,9.204812169312177
Train,11.69,11.71363960113963
Train,14.8,14.785925925925905
Train,9.2,9.212645502645513
Train,14.7,14.700000000000024
Train,8.8,8.817904761904755
Train,10.4,10.384259259259245
Train,12.43,12.429999999999986
Train,14.2,14.19966666666669
Train,6.6,6.6186111111111225
Train,3,3
Train,2.1,2.1049999999999964
Train,10.2,10.200000000000017
Train,1.7,1.697638888888889
Train,1,1.0008333333333332
Train,1.95,1.9549243386243367
Train,30.91,30.90999999999998
Train,11.94,11.927861111111135
Train,10.69,10.690000000000028
Train,3.8,3.813370370370376
