Data Type,True Values,Mean Predictions,
Train,1.15,1.1381000000000006,0.115
Train,7.1,7.04190000000001,0.71
Train,18.6,17.72369999999998,1.86
Train,3.36,3.646000000000003,0.336
Train,32.94,30.11390000000003,3.294
Train,0.9,1.348500000000002,0.09
Train,5.5,5.888500000000002,0.55
Train,5.73,6.258300000000003,0.573
Train,9.53,9.005799999999992,0.953
Train,18.25,18.233999999999988,1.825
Train,11.74,11.827400000000004,1.174
Train,1.4,1.4795000000000023,0.14
Train,25.44,25.188000000000024,2.544
Train,19.4,19.06430000000001,1.94
Train,9.99,10.006500000000004,0.999
Train,25.8,24.4444,2.58
Train,3.43,3.237200000000006,0.343
Train,7.25,7.052600000000002,0.725
Train,1.75,2.0912999999999995,0.175
Train,5.7,5.531099999999998,0.57
Train,0,0.6132,0
Train,16.08,16.282299999999992,1.608
Train,10.7,11.209100000000012,1.07
Train,0.8,0.8595999999999988,0.08
Train,3.28,3.475599999999996,0.328
Train,40.04,38.89679999999999,4.004
Train,15.85,14.887499999999982,1.585
Train,1.15,1.2199000000000007,0.115
Train,0.87,1.3931000000000011,0.087
Train,14.38,15.091400000000029,1.438
Train,29.66,29.746799999999997,2.966
Train,6.8,7.273499999999998,0.68
Train,4.15,3.935099999999997,0.415
Train,11.63,11.499800000000008,1.163
Train,22.01,21.932100000000023,2.201
Train,4.6,4.458500000000008,0.46
Train,3.77,3.756599999999998,0.377
Train,23.5,24.418299999999984,2.35
Train,11,10.8045,1.1
Train,10,10.873700000000003,1
Train,18.02,17.396299999999986,1.802
Train,8.3,7.98499999999999,0.83
Train,3.36,2.7411000000000065,0.336
Train,10,9.6448,1
Train,5.6,5.5830000000000055,0.56
Train,6.6,6.831190476190487,0.66
Train,5.14,5.297899999999994,0.514
Train,10.5,10.707699999999997,1.05
Train,4.5,4.493800000000001,0.45
Train,3.94,4.5895,0.394
Train,11.5,12.023399999999999,1.15
Train,8.47,8.23260000000001,0.847
Train,8.1,8.511500000000014,0.81
Train,0,0.6019749999999999,0
Train,3.96,3.947399999999998,0.396
Train,9.21,8.633500000000012,0.921
Train,8.9,8.83019999999999,0.89
Train,1.38,1.5617916666666647,0.138
Train,10.7,10.523500000000007,1.07
Train,5.1,5.489000000000008,0.51
Train,5.27,5.3305,0.527
Train,2.04,2.2003999999999984,0.204
Train,8.6,8.246000000000004,0.86
Train,13.53,11.595349999999994,1.353
Train,8.1,8.131300000000012,0.81
Train,5.36,4.907700000000008,0.536
Train,6.65,6.195483333333328,0.665
Train,1.09,1.4190000000000023,0.109
Train,11.75,10.4185,1.175
Train,2.5,3.0619,0.25
Train,24.75,24.64429999999999,2.475
Train,25.1,24.656599999999983,2.51
Train,10.6,11.004900000000005,1.06
Train,5.22,6.150000000000011,0.522
Train,14.48,14.223200000000006,1.448
Train,15.3,14.584399999999984,1.53
Train,20.76,22.429500000000022,2.076
Train,11,9.9446,1.1
Train,17.58,16.87209999999999,1.758
Train,4.7,4.269242857142851,0.47
Train,17.22,17.53480000000001,1.722
Train,5.83,6.551900000000006,0.583
Train,2.81,2.5640000000000005,0.281
Train,23,20.6578,2.3
Train,1.82,1.6452999999999969,0.182
Train,6.79,6.6575000000000015,0.679
Train,16.43,15.908000000000008,1.643
Train,0,0.19190000000000002,0
Train,5.6,5.510126190476196,0.56
