Data Type,True Values,Mean Predictions
Train,1.15,1.1769399642944336
Train,7.1,7.22782564163208
Train,18.6,18.577865600585938
Train,3.36,3.5158705711364746
Train,32.94,32.92417526245117
Train,0.9,0.8901200294494629
Train,5.5,5.738457202911377
Train,5.73,5.88020133972168
Train,9.53,9.52705192565918
Train,18.25,18.33863639831543
Train,11.74,11.669594764709473
Train,1.4,1.3770534992218018
Train,25.44,25.538074493408203
Train,19.4,19.44183349609375
Train,9.99,9.963494300842285
Train,25.8,25.742862701416016
Train,3.43,3.4345791339874268
Train,7.25,7.149302959442139
Train,1.75,1.6875863075256348
Train,5.7,5.6424713134765625
Train,0.0,-0.003689762204885483
Train,16.08,16.063350677490234
Train,10.7,10.736398696899414
Train,0.8,0.841766893863678
Train,3.28,3.244844913482666
Train,40.04,40.0539665222168
Train,15.85,15.864767074584961
Train,1.15,1.1455249786376953
Train,0.87,0.9259732365608215
Train,14.38,14.48882007598877
Train,29.66,29.752914428710938
Train,6.8,6.7863898277282715
Train,4.15,4.115298748016357
Train,11.63,11.757267951965332
Train,22.01,22.0816593170166
Train,4.6,4.542491436004639
Train,3.77,3.771116256713867
Train,23.5,23.703948974609375
Train,11.0,10.918965339660645
Train,10.0,9.982230186462402
Train,18.02,17.945701599121094
Train,8.3,8.43838119506836
Train,3.36,3.327725887298584
Train,10.0,9.984708786010742
Train,5.6,5.633240699768066
Train,6.6,6.880730152130127
Train,5.14,5.259599208831787
Train,10.5,10.538895606994629
Train,4.5,4.5374436378479
Train,3.94,3.845604658126831
Train,11.5,11.458930969238281
Train,8.47,8.44541072845459
Train,8.1,8.091248512268066
Train,0.0,0.031724754720926285
Train,3.96,4.046655654907227
Train,9.21,9.259313583374023
Train,8.9,8.775641441345215
Train,1.38,1.411024808883667
Train,10.7,10.711798667907715
Train,5.1,5.073870658874512
Train,5.27,5.309922218322754
Train,2.04,2.1567511558532715
Train,8.6,8.609297752380371
Train,13.53,13.428536415100098
Train,8.1,8.17162799835205
Train,5.36,5.111934185028076
Train,6.65,6.653852939605713
Train,1.09,1.112959861755371
Train,11.75,11.819171905517578
Train,2.5,2.466571569442749
Train,24.75,24.49622344970703
Train,25.1,25.144880294799805
Train,10.6,10.72574234008789
Train,5.22,5.240447044372559
Train,14.48,14.496020317077637
Train,15.3,15.298880577087402
Train,20.76,20.67384147644043
Train,11.0,11.033885955810547
Train,17.58,17.57529067993164
Train,4.7,4.232747554779053
Train,17.22,17.22405242919922
Train,5.83,5.84226655960083
Train,2.81,2.7482664585113525
Train,23.0,22.875713348388672
Train,1.82,1.816798210144043
Train,6.79,6.795963287353516
Train,16.43,16.359539031982422
Train,0.0,-0.014123582281172276
Train,5.6,5.46781063079834
Train,20.37,20.54975128173828
Train,25.9,25.902605056762695
Train,4.8,4.799924850463867
Train,3.04,3.046189546585083
Train,23.84,23.885744094848633
Train,11.5,11.53431224822998
Train,5.3,5.301163673400879
Train,2.04,2.1354823112487793
Train,3.7,4.232747554779053
Train,6.1,6.249362468719482
Train,1.41,1.5125844478607178
Train,16.1,15.954401969909668
Train,6.52,6.485255718231201
Train,10.35,10.544769287109375
Train,2.2,2.2309937477111816
Train,11.65,11.589103698730469
Train,7.85,7.970264434814453
Train,2.46,2.5921342372894287
Train,11.57,11.620195388793945
Train,2.65,2.72631573677063
Train,11.39,11.491318702697754
Train,19.09,19.167724609375
Train,4.61,4.707278251647949
Train,8.29,8.278958320617676
Train,7.82,7.705941677093506
Train,11.03,11.06956672668457
Train,7.25,7.214041233062744
Train,6.22,6.459975242614746
Train,15.96,15.967794418334961
Train,7.8,7.844168663024902
Train,4.4,4.280041217803955
Train,4.36,4.382896900177002
Train,8.0,7.966824531555176
Train,13.0,13.021120071411133
Train,2.1,2.084357738494873
Train,6.13,6.017989635467529
Train,1.46,1.3706926107406616
Train,3.7,3.7264010906219482
Train,8.8,9.999091148376465
Train,4.17,4.027000904083252
Train,19.05,18.975597381591797
Train,7.4,7.42096471786499
Train,13.69,13.702337265014648
Train,7.8,7.759974956512451
Train,11.69,11.774239540100098
Train,2.88,2.9596304893493652
Train,1.6,1.593636393547058
Train,38.44,38.48752212524414
Train,0.56,0.4847652316093445
Train,11.56,11.556025505065918
Train,6.57,6.3439202308654785
Train,9.1,9.03859806060791
Train,5.59,5.471306324005127
Train,12.87,12.83710765838623
Train,11.8,11.893026351928711
Train,16.3,16.285799026489258
Train,2.37,2.3909497261047363
Train,4.8,4.817799091339111
Train,23.16,23.16618537902832
Train,6.2,6.314884662628174
Train,7.64,7.578835487365723
Train,0.95,0.9792417287826538
Train,29.4,29.427980422973633
Train,2.13,1.9739161729812622
Train,1.89,1.9207688570022583
Train,14.5,14.439767837524414
Train,8.73,8.762490272521973
Train,7.27,7.292895793914795
Train,5.5,5.46781063079834
Train,3.46,3.4484012126922607
