Data Type,True Values,Mean Predictions
Train,1.15,1.2333305156881789
Train,7.1,7.032820133628234
Train,18.6,18.700170264530644
Train,3.36,3.8428653897789564
Train,32.94,32.85986354799083
Train,0.9,0.9858862371699785
Train,5.5,6.016673646308879
Train,5.73,5.904111750293242
Train,9.53,9.535701945695196
Train,18.25,18.619988428483136
Train,11.74,11.6773370573665
Train,1.4,0.9858862371699785
Train,25.44,25.500616933073097
Train,19.4,19.589865675501635
Train,9.99,9.964759212728298
Train,25.8,25.74727059837229
Train,3.43,3.4425863556897776
Train,7.25,6.946794719173495
Train,1.75,1.7210309397484664
Train,5.7,5.577915376081345
Train,0,0.22302819840382151
Train,16.08,16.006315006072136
Train,10.7,10.914698058137244
Train,0.8,0.8172126628086707
Train,3.28,3.217274726347966
Train,40.04,40.03848979423021
Train,15.85,15.886565825385189
Train,1.15,1.1727257709839038
Train,0.87,0.9298604333156101
Train,14.38,14.996869169633435
Train,29.66,30.016445417663313
Train,6.8,6.767986296653658
Train,4.15,4.02161290568748
Train,11.63,11.856133927908955
Train,22.01,22.167886909706198
Train,4.6,4.525583963238622
Train,3.77,3.6081218025978563
Train,23.5,23.710032735916183
Train,11,10.902251347329477
Train,10,9.989025152031116
Train,18.02,17.804157533649768
Train,8.3,8.652602339440541
Train,3.36,3.344643346995747
Train,10,9.658468163912147
Train,5.6,5.879264143081767
Train,6.6,7.091255853937923
Train,5.14,5.337911029228941
Train,10.5,10.610760525579428
Train,4.5,4.699682275411446
Train,3.94,3.862845422488947
Train,11.5,11.262448757835338
Train,8.47,8.450572601076018
Train,8.1,7.927843275633918
Train,0,0.0007314736392643798
Train,3.96,4.04082603980261
Train,9.21,9.301202277042865
Train,8.9,8.854294997166633
Train,1.38,1.3670869165021364
Train,10.7,10.388729195808066
Train,5.1,4.968800091403644
Train,5.27,5.393885098427732
Train,2.04,2.0800175229406435
Train,8.6,8.344492517791428
Train,13.53,13.334730379397595
Train,8.1,8.370824593618561
Train,5.36,5.106066958345013
Train,6.65,6.61208959274008
Train,1.09,1.1300958641925667
Train,11.75,11.796207568022966
Train,2.5,2.503142102486271
Train,24.75,24.39474214107957
Train,25.1,25.024091760369576
Train,10.6,10.679169751576932
Train,5.22,5.375423598846822
Train,14.48,14.46361453928959
Train,15.3,15.248443165212768
Train,20.76,20.62902877849591
Train,11,10.984990144394713
Train,17.58,17.44949470887332
Train,4.7,4.420513491182881
Train,17.22,17.255656878095458
Train,5.83,5.747211364922331
Train,2.81,2.733537052620485
Train,23,22.762135241369457
Train,1.82,1.8301914783023139
Train,6.79,6.930739249949934
Train,16.43,16.248825151541215
Train,0,0.08110225925803725
Train,5.6,5.276624902095164
Train,20.37,20.569592719240084
Train,25.9,26.63871746896029
Train,4.8,4.6209432036712315
Train,3.04,2.965725115185265
Train,23.84,23.79134928766291
Train,11.5,11.739990016867043
Train,5.3,5.25679093328174
Train,2.04,2.2491188810855145
Train,3.7,4.420513491182881
Train,6.1,6.299671324148312
Train,1.41,1.5904558321412892
Train,16.1,15.332498085933867
Train,6.52,6.446118955240965
Train,10.35,10.582416483444005
Train,2.2,2.856450387142043
Train,11.65,11.520082378455703
Train,7.85,8.111174744830336
Train,2.46,2.6401725120372674
Train,11.57,11.63802620748919
Train,2.65,2.726323221963379
Train,11.39,11.663561715689628
Train,19.09,19.436968852319076
Train,4.61,4.735915743946144
Train,8.29,8.02529488951077
Train,7.82,7.56740179139142
Train,11.03,10.963625796945161
Train,7.25,7.207154381090378
Train,6.22,6.636075434009972
Train,15.96,15.995207159633592
Train,7.8,8.344492517791428
Train,4.4,4.036712364276303
Train,4.36,4.322362370726167
Train,8,7.885917537524461
Train,13,13.032478473543076
Train,2.1,2.0653931864793016
Train,6.13,6.037461358475533
Train,1.46,1.2471297839227589
Train,3.7,3.6520908997965176
Train,8.8,9.913863075099483
Train,4.17,3.916169760427138
Train,19.05,19.124935856545672
Train,7.4,7.269321523456443
Train,13.69,13.70665354932137
Train,7.8,7.736919300796144
Train,11.69,12.12497399963895
Train,2.88,2.957833097421588
Train,1.6,1.5105797835333974
Train,38.44,38.23924184491626
Train,0.56,0.5425162077569103
Train,11.56,11.47845391296105
Train,6.57,6.286476123634766
Train,9.1,8.887362660532062
Train,5.59,5.445737284476069
Train,12.87,12.77962446237506
Train,11.8,12.013647289884213
Train,16.3,16.114488961801783
